frame,support_len,confidence_sum
1262,10,8.105394
1263,9,7.281828
1264,10,8.095391
1265,9,7.281989
1266,9,7.255363
1267,10,8.057572
1268,9,7.285559
1269,9,7.301153
1270,9,7.271591
1271,10,8.075074
1272,9,7.262388
1273,9,7.271679
1274,10,9.703493
1275,9,8.710516
1276,9,8.729176
1277,10,9.821528
1278,9,8.884109
1279,9,8.346394
1280,3,2.906386
1281,10,9.458087
1282,9,8.678719
1283,10,9.751553
1284,9,8.776398
1285,9,8.891062
1286,11,10.744663
1287,8,7.881632
1288,9,7.317651
1289,7,5.684925
1290,9,7.306847
1291,9,7.304206
1292,9,7.299341
1293,10,8.118996
1294,9,7.306518
1295,9,7.296296
1296,10,8.109443
1297,9,7.301906
1298,10,8.125901
1299,10,8.127572
1300,9,7.306264
1301,10,8.101215
1302,10,8.105727
1303,9,7.291078
1304,10,8.115615
1305,9,7.305556
1306,10,8.120770
1307,9,7.297143
1308,10,9.698884
1309,9,8.763234
1310,10,9.631860
1311,10,9.539365
1312,9,8.671584
1313,10,9.704463
1314,9,8.715498
1315,11,10.709151
1316,8,7.746473
1317,10,8.893218
1318,9,8.017480
1319,9,8.702846
1320,10,9.641170
1321,9,8.676040
1322,10,9.264381
1323,9,8.860798
1324,10,9.661798
1325,9,8.754637
1326,9,8.619666
1327,10,9.893051
1328,9,8.895274
1329,10,9.843517
1330,9,8.869463
1331,9,8.863774
1332,10,9.879954
1333,9,8.888167
1334,9,7.998482
1335,10,9.395234
1336,10,9.614423
1337,9,7.904179
1338,8,7.458749
1339,10,9.475505
1340,9,8.897869
1341,10,9.667628
1342,10,9.466439
1343,9,8.790452
1344,9,8.741007
1345,9,8.760355
1346,10,9.743918
1347,9,8.732843
1348,9,8.833123
1349,9,8.020464
1350,10,9.761083
1351,9,8.747994
1352,7,6.920260
1353,9,8.794549
1354,11,10.860024
1355,8,7.885467
1356,8,7.834595
1357,9,8.830315
1358,10,9.837292
1359,10,9.839881
1360,9,8.852525
1361,9,8.763848
1362,9,8.815860
1363,9,8.001130
1364,10,9.822574
1365,9,8.862369
1366,9,8.861180
1367,9,8.749167
1368,9,8.841993
1369,9,8.870187
1370,9,8.108196
1371,9,8.562652
1372,9,7.908306
1373,9,8.871899
1374,9,8.674444
1375,9,8.769999
1376,9,8.005788
1377,9,8.833851
1378,9,8.776080
1379,9,8.864377
1380,10,9.847692
1381,9,8.832977
1382,9,8.892754
1383,9,8.883640
1384,9,8.687063
1385,9,8.903241
1386,9,8.884461
1387,9,7.999518
1388,9,8.877448
1389,9,8.849840
1390,9,8.862023
1391,9,8.338284
1392,9,8.190988
1393,10,9.670333
1394,10,9.833437
1395,10,9.808320
1396,10,9.740277
1397,10,9.854169
1398,10,9.866826
1399,10,9.839159
1400,10,9.870931
1401,10,9.868405
1402,10,9.871003
1403,10,9.867772
1404,10,9.893521
1405,10,9.852206
1406,10,9.751016
1407,10,9.643611
1408,10,9.675430
1409,10,9.879091
1410,10,9.865480
1411,10,9.878289
1412,10,9.837084
1413,10,9.841073
1414,10,9.821694
1415,10,9.647834
1416,10,9.671754
1417,10,9.661017
1418,10,9.653397
1419,11,10.627271
1420,9,8.736482
1421,10,9.833734
1422,11,10.908919
1423,8,7.941568
1424,9,8.890932
1425,9,8.898347
1426,8,7.906241
1427,9,8.925647
1428,9,8.926619
1429,10,8.903695
1430,9,8.901938
1431,9,8.824969
1432,9,8.905155
1433,9,8.841401
1434,9,8.902368
1435,10,9.819973
1436,9,8.837374
1437,9,8.847155
1438,9,8.844686
1439,9,8.853765
1440,9,8.008828
1441,9,8.786605
1442,9,8.695054
1443,9,8.909068
1444,9,7.992931
1445,9,8.422583
1446,9,7.860936
1447,9,8.907666
1448,9,8.865292
1449,9,8.886935
1450,9,8.867320
1451,10,9.805458
1452,9,8.821922
1453,9,7.997433
1454,9,8.504036
1455,9,8.404550
1456,10,9.813002
1457,10,9.819191
1458,9,8.853750
1459,9,8.856212
1460,9,8.819547
1461,10,9.836827
1462,9,8.851951
1463,9,8.900265
1464,9,8.821192
1465,10,9.900619
1466,9,8.774909
1467,9,7.992936
1468,9,8.814470
1469,11,10.758894
1470,8,7.859574
1471,9,8.856602
1472,9,8.774151
1473,10,9.657413
1474,10,9.788717
1475,9,8.938798
1476,10,9.790108
1477,9,8.691746
1478,9,8.938113
1479,10,9.680709
1480,11,10.550135
1481,8,7.388633
1482,9,7.960882
1483,10,9.897169
1484,9,8.890858
1485,9,8.873939
1486,10,9.854337
1487,9,8.922757
1488,10,9.844881
1489,9,8.860393
